areaLand,isPartOf_label
{1.9587e+07|1.95881e+07},{California|Tehama County California}
{1.67572e+07|1.6758e+07},{California|Tulare County California}
{5.84819e+06|5.849e+06},{California|Tulare County California}
{6.379e+06|6.37914e+06},{California|Tulare County California}
{6.759e+06|6.75987e+06},{California|Tulare County California}
{4.56019e+07|4.5603e+07},{California|Tulare County California}
{5.4211e+07|5.4212e+07},{California|San Joaquin Valley|Tulare County California}
{5.821e+06|5.82229e+06},{California|Tulare County California}
{9.3876e+07|9.38767e+07},{California|San Joaquin Valley|Tulare County California}
{7.93572e+06|7.936e+06},{California|Tuolumne County California}
{5.0577e+07|5.05773e+07},{California|Ventura County California}
{1.1359e+07|1.13597e+07},{California|Ventura County California}
1.1528e+07,{California|Ventura County California}
{6.96551e+07|6.9656e+07},{California|Ventura County California}
{1.1895e+07|1.18958e+07},{California|Ventura County California}
{5.6085e+07|5.60862e+07},{California|Ventura County California}
{5.54905e+07|5.5491e+07},{California|Yolo County California}
1.4253e+08,{California|Ventura County California}
{8.971e+06|8.97172e+06},{California|Yuba County California}
{3.83059e+06|3.831e+06},{California|Yuba County California}
{9.10174e+07|9.1018e+07},{Adams County Colorado|Colorado|Jefferson County Colorado}
{4.42e+07|4.42888e+07},{Adams County Colorado|Colorado|Weld County Colorado}
{6.68217e+07|6.69e+07},{Adams County Colorado|Colorado}
{7.01887e+07|7.02e+07},Colorado
{4.6e+06|4.66198e+06},{Adams County Colorado|Colorado}
{1.91659e+07|1.92e+07},{Adams County Colorado|Colorado|Weld County Colorado}
9.01316e+07,{Adams County Colorado|Colorado|Weld County Colorado}
{8.15846e+07|8.16e+07},{Adams County Colorado|Colorado|Jefferson County Colorado}
{1.60579e+07|1.61e+07},{Arapahoe County Colorado|Colorado}
{1.7e+07|1.70939e+07},{Arapahoe County Colorado|Colorado}
{2.09789e+07|2.1e+07},{Arapahoe County Colorado|Colorado}
{5.69797e+06|5.7e+06},{Arapahoe County Colorado|Colorado}
{3.3e+06|3.36698e+06},{Bent County Colorado|Colorado}
{2.29e+07|2.30509e+07},{Boulder County Colorado|Colorado}
{5.64e+07|5.64617e+07},{Boulder County Colorado|Colorado|Weld County Colorado}
{2.20149e+07|2.21e+07},{Boulder County Colorado|Colorado}
{5.69797e+06|5.7e+06},{Chaffee County Colorado|Colorado}
{1.37269e+07|1.41e+07},{Colorado|Delta County Colorado}
{4.40298e+06|4.5e+06},{Colorado|Douglas County Colorado}
6.21e+07,{Colorado|El Paso County Colorado}
8.2e+06,{Colorado|El Paso County Colorado}
{1.11e+07|1.11369e+07},{Colorado|Garfield County Colorado}
{3.8e+06|3.88498e+06},{Colorado|Gilpin County Colorado}
{1.8e+06|1.81299e+06},{Colorado|Jefferson County Colorado}
{2.35e+07|2.35689e+07},{Colorado|Jefferson County Colorado}
{5.4e+06|5.43898e+06},{Colorado|Kit Carson County Colorado}
{6.36e+07|6.37137e+07},{Colorado|Larimer County Colorado}
{1.63e+07|1.63169e+07},{Colorado|Las Animas County Colorado}
{1.78e+07|1.78709e+07},{Colorado|Logan County Colorado}
1.84e+07,{Colorado|Mesa County Colorado}
9.9e+07,{Colorado|Mesa County Colorado}
1.33e+07,{Colorado|Moffat County Colorado}
{1.42e+07|1.42449e+07},{Colorado|Montezuma County Colorado}
{2.97e+07|2.97849e+07},{Colorado|Montrose County Colorado}
{6.21597e+06|6.3e+06},{Colorado|Morgan County Colorado}
{1.13959e+07|1.15e+07},{Colorado|Morgan County Colorado}
{7.4e+06|7.51097e+06},{Colorado|Otero County Colorado}
{4.4e+06|4.40298e+06},{Colorado|Otero County Colorado}
{2.07199e+06|2.2e+06},{Colorado|Ouray County Colorado}
{4.40298e+06|4.5e+06},{Colorado|Phillips County Colorado}
{1.0878e+07|1.1e+07},{Colorado|Prowers County Colorado}
{4.9e+06|4.92098e+06},{Colorado|Rio Grande County Colorado}
{700000.0|776996.0},{Colorado|Teller County Colorado}
{1.47e+07|1.47629e+07},{Colorado|Teller County Colorado}
{6.99297e+06|7.1e+06},{Colorado|Weld County Colorado}
{2.71949e+07|2.72e+07},{Colorado|Weld County Colorado}
{1.03e+07|1.036e+07},{Colorado|Weld County Colorado}
{7.74406e+07|7.75e+07},{Colorado|Weld County Colorado}
{7.7e+06|7.76996e+06},{Colorado|Yuma County Colorado}
7.48507e+07,Florida
6.21597e+06,Florida
{1.19e+07|1.19139e+07},Florida
{4.78e+07|4.79148e+07},Florida
{1.1629e+08|1.163e+08},Florida
2.33e+07,Florida
{8.5e+06|8.54696e+06},Florida
{4.40298e+06|4.5e+06},Florida
2.69e+07,Florida
4.6e+06,Florida
4.76e+07,Florida
7.58e+07,Florida
{4.92098e+06|5e+06},Florida
1.12e+07,Florida
{2.58999e+06|2.7e+06},Florida
{3.6e+06|3.62598e+06},Florida
{1.16549e+07|1.18e+07},{Clay County Florida|Florida}
{1.73e+07|1.73529e+07},Florida
3.45e+07,{Brevard|Florida}
{5.95697e+06|6e+06},{Brevard|Florida}
{1.26909e+07|1.27e+07},{Brevard|Florida}
7.6e+06,{Brevard|Florida}
2.64e+07,{Brevard|Florida}
7.61e+07,{Brevard|Florida}
{2.99e+07|2.99144e+07},{Broward County Florida|Florida}
{1.64e+07|1.64464e+07},{Broward County Florida|Florida}
5.70056e+07,{Broward County Florida|Florida}
{1.5773e+07|1.58e+07},{Broward County Florida|Florida}
{3.47058e+07|3.48e+07},{Broward County Florida|Florida}
{8.21026e+07|8.22e+07},{Broward County Florida|Florida}
{9.29806e+06|9.3e+06},Florida
{7.07067e+07|7.08e+07},{Broward County Florida|Florida}
{1.89e+07|1.89069e+07},Florida
{5.9e+06|5.93107e+06},Florida
{2.28e+07|2.28178e+07},Florida
{1e+07|1.00492e+07},Florida
{1.63e+07|1.63169e+07},Florida
{2.64e+07|2.64179e+07},Florida
{8.56e+07|8.57286e+07},{Broward County Florida|Florida}
{5.63e+07|5.63063e+07},Florida
{6.26777e+07|6.268e+07},Florida
2.95e+07,Florida
{5e+06|5.02458e+06},{Broward County Florida|Florida}
{8.28796e+06|8.3e+06},Florida
{1.76119e+07|1.77e+07},Florida
{2.33099e+06|2.4e+06},Florida
2.74539e+07,Florida
{3.11e+07|3.11576e+07},{Collier County Florida|Florida}
9e+06,Florida
6e+06,Florida
1.9e+07,Florida
{1.21e+07|1.21729e+07},Florida
{9.5e+06|9.58296e+06},{Flagler County Florida|Florida|Volusia County Florida}
{1.31364e+08|1.314e+08},Florida
{4.9e+06|4.92098e+06},Florida
{5.87927e+07|5.88e+07},{Escambia County Florida|Florida}
{4.9e+06|4.92098e+06},Florida
{9.84195e+06|9.9e+06},{Florida|Gadsden County Florida}
{1.96839e+07|1.97e+07},Florida
9.8e+06,{Florida|Gilchrist County Florida|Levy County Florida}
{8.54696e+06|8.6e+06},Florida
{1.60579e+07|1.61e+07},Florida
{5.1e+06|5.17998e+06},Florida
{3.62598e+06|3.7e+06},Florida
{6.73397e+06|6.8e+06},Florida
{1.21e+07|1.21729e+07},Florida
{1.32866e+07|1.33e+07},{Florida|Highlands County Florida}
{5.85337e+07|5.86e+07},{Florida|Hillsborough County Florida}
{1.78e+07|1.78709e+07},{Florida|Hillsborough County Florida}
{1.37e+07|1.37269e+07},Florida
{1.11e+07|1.11369e+07},Florida
{8e+06|8.02896e+06},Florida
{2.07199e+07|2.08e+07},Florida
{8.8e+06|8.80596e+06},Florida
{2.16e+07|2.17559e+07},Florida
{2.71949e+07|2.72e+07},Florida
{6.73397e+06|6.8e+06},Florida
{7.51097e+06|7.6e+06},Florida
{4.83e+07|4.84328e+07},Florida
{7.9e+06|8.02896e+06},Florida
{1.26909e+07|1.27e+07},Florida
{1.83889e+07|1.84e+07},Florida
{6.47497e+06|6.6e+06},Florida
{9.14e+07|9.14266e+07},Florida
2.85132e+08,Lee County Florida
4.45737e+07,Florida
2.5e+06,Florida
1.61e+07,Florida
1.75e+07,Florida
{4.14398e+06|4.2e+06},Florida
{2e+06|2.07199e+06},Florida
{1.29499e+06|1.4e+06},Florida
{4.14398e+06|4.2e+06},Florida
{1.11369e+07|1.12e+07},Florida
{4.66198e+06|4.7e+06},Florida
1.00051e+08,{Florida|Marion County Florida}
{6.99297e+06|7e+06},{Florida|Miami-Dade County Florida}
1.63169e+07,Florida
{6.22e+07|6.24187e+07},{Florida|Miami-Dade County Florida}
{1.32e+07|3.41878e+07},Florida
{8.28796e+06|8.3e+06},Florida
{6.4e+06|6.47497e+06},Florida
{4.97278e+07|4.98e+07},{Florida|Miami-Dade County Florida}
{3.7e+07|3.70368e+07},Florida
{1.81299e+07|1.82e+07},{Florida|Miami-Dade County Florida}
{7.51097e+06|7.6e+06},Florida
{1.28e+07|1.29499e+07},Florida
{860394.0|860400.0},Florida
{2.19e+07|2.20149e+07},{Florida|Miami-Dade County Florida}
{1.11369e+07|1.12e+07},NULL
{5.95697e+06|6e+06},Florida
{2.58999e+06|2.6e+06},Florida
{2.07199e+06|2.1e+06},Florida
{1.8e+06|1.81299e+06},Florida
{1.29499e+06|1.3e+06},Florida
{517998.0|600000.0},Florida
1.52809e+07,{Florida|Monroe County Florida}
{2.77129e+07|2.78e+07},{Florida|Nassau County Florida}
{3.31e+07|3.31518e+07},Florida
{8.02896e+06|8.1e+06},Florida
{1.91659e+07|1.93e+07},Florida
{3.88498e+06|4e+06},Florida
{1.94249e+07|1.95e+07},Florida
{2.82309e+07|2.83e+07},Florida
{3.08209e+07|3.09e+07},Florida
8.09e+07,Florida
6e+06,Florida
{3.1e+06|3.10799e+06},Florida
1.36e+07,Florida
7.7e+06,{Florida|Orange County Florida}
3.81e+07,Florida
3.99e+07,Florida
{2.37e+07|2.38279e+07},Florida
{4.32e+07|4.3201e+07},Florida
{1.19139e+07|1.2e+07},{Florida|Palm Beach County Florida}
{3.5e+06|3.62598e+06},{Florida|Palm Beach County Florida}
{1.21e+07|1.21729e+07},{Florida|Palm Beach County Florida}
{1.46e+07|1.46075e+07},{Florida|Palm Beach County Florida}
{1.39859e+07|1.4e+07},{Florida|Palm Beach County Florida}
{6.99297e+06|7e+06},{Florida|Palm Beach County Florida}
{8.5e+06|8.54696e+06},{Florida|Pasco County Florida}
{1.16549e+07|1.17e+07},{Florida|Pasco County Florida}
{5.43898e+06|5.5e+06},{Florida|Pasco County Florida}
{3.10799e+06|3.2e+06},{Florida|Pasco County Florida}
1.2e+06,Florida
{1.2e+06|1.29499e+06},Florida
6.62e+07,{Florida|Pinellas County Florida}
{2.69e+07|2.69359e+07},{Florida|Pinellas County Florida}
{7.25197e+06|7.3e+06},Florida
{2.33099e+06|2.4e+06},Florida
{2.58999e+06|2.7e+06},Florida
4.56e+07,{Florida|Pinellas County Florida}
2.25e+07,Florida
4.02e+07,{Florida|Pinellas County Florida}
{1.26909e+07|1.27e+07},Florida
1.32e+07,Florida
{5.69797e+06|5.8e+06},Florida
{1.8e+06|1.81299e+06},Florida
{1.34679e+07|1.35e+07},{Florida|Polk County Florida}
{4e+06|4.14398e+06},{Florida|Polk County Florida}
{3.6e+06|3.62598e+06},{Florida|Polk County Florida}
{1.29e+07|1.29499e+07},{Florida|Polk County Florida}
{2.14969e+07|2.15e+07},{Florida|Polk County Florida}
{1.26909e+07|1.27e+07},{Florida|Polk County Florida}
1.78165e+08,{Florida|Polk County Florida}
{7.9e+06|8.02896e+06},{Florida|Polk County Florida}
{4.66198e+06|4.7e+06},Florida
{1.23e+07|1.24319e+07},Florida
{1.8e+07|1.81299e+07},{Florida|Putnam County Florida}
{1.13e+07|1.13959e+07},Florida
{1.937e+08|1.93731e+08},Florida
3.95e+07,Florida
{2.3e+07|2.30509e+07},{Florida|Seminole County Florida}
1.81299e+07,{Florida|Seminole County Florida}
{2.22739e+07|2.23e+07},Florida
{1.37269e+07|1.38e+07},Florida
{3.93678e+07|3.94e+07},Florida
5.95697e+07,{Florida|Seminole County Florida}
{3.80728e+07|3.82e+07},Florida
2.43459e+07,{Florida|St. Johns County Florida}
{1.956e+08|3.0018e+08},{Florida|St. Lucie County Florida}
{6.1e+06|6.21597e+06},Florida
{4.4e+06|4.40298e+06},Florida
{3.8e+06|3.88498e+06},Florida
{1.34e+07|1.34679e+07},NULL
2.95e+07,Florida
{2.40869e+07|2.41e+07},Florida
{4.40298e+06|4.5e+06},{Florida|Union County Florida}
4.92098e+07,{Florida|Volusia County Florida}
4.55838e+07,{Florida|Volusia County Florida}
5.74977e+07,{Florida|Volusia County Florida}
{1.01e+07|1.0101e+07},Florida
9.71246e+07,{Florida|Volusia County Florida}
1.15e+07,Florida
8.96136e+07,{Florida|Volusia County Florida}
1.7e+07,Florida
1.83889e+07,{Florida|Volusia County Florida}
8.27e+07,Florida
9.6e+06,Florida
6.9e+07,Florida
{3.88498e+06|3.9e+06},Florida
{4.92098e+06|5e+06},Florida
{2.79e+07|2.79719e+07},Florida
{1.21729e+07|1.22e+07},Florida
{1.0619e+07|1.07e+07},Florida
{1.85e+07|1.86479e+07},{Appling County Georgia|Georgia (U.S. state)}
{4.40298e+06|4.5e+06},{Appling County Georgia|Georgia (U.S. state)}
{9.8e+06|9.84195e+06},{Atkinson County Georgia|Georgia (U.S. state)}
{7.5e+06|7.51097e+06},{Atkinson County Georgia|Georgia (U.S. state)}
{1.47629e+07|1.48e+07},{Bacon County Georgia|Georgia (U.S. state)}
{7.5e+06|7.51097e+06},{Baker County Georgia|Georgia (U.S. state)}
{5.17e+07|5.17998e+07},{Baldwin County Georgia|Georgia (U.S. state)}
{9.3e+06|9.32396e+06},{Banks County Georgia|Georgia (U.S. state)|Habersham County Georgia}
{2.84899e+06|2.9e+06},{Banks County Georgia|Georgia (U.S. state)|Hall County Georgia}
{7.2e+06|7.25197e+06},{Banks County Georgia|Georgia (U.S. state)|Hall County Georgia}
{9.06496e+06|9.1e+06},{Barrow County Georgia|Georgia (U.S. state)}
{2.79719e+07|2.81e+07},{Barrow County Georgia|Georgia (U.S. state)}
{1.52809e+07|1.53e+07},{Bartow County Georgia|Georgia (U.S. state)}
{1.6e+07|1.60579e+07},Georgia (U.S. state)
{1.19139e+07|1.2e+07},{Bartow County Georgia|Georgia (U.S. state)}
{2.07199e+06|2.1e+06},{Bartow County Georgia|Georgia (U.S. state)}
{2.3e+06|2.33099e+06},{Bartow County Georgia|Georgia (U.S. state)}
{1.86479e+07|1.88e+07},{Ben Hill County Georgia|Georgia (U.S. state)|Irwin County Georgia}
{1.19139e+07|1.2e+07},{Berrien County Georgia|Georgia (U.S. state)}
{0.0|100000.0},{Bibb County Georgia|Georgia (U.S. state)}
{2.07199e+06|2.1e+06},{Berrien County Georgia|Georgia (U.S. state)}
{1.02e+07|1.0619e+07},{Bleckley County Georgia|Georgia (U.S. state)}
{7.7e+06|7.76996e+06},{Brantley County Georgia|Georgia (U.S. state)}
{9e+06|9.06496e+06},{Brantley County Georgia|Georgia (U.S. state)}
{4.6e+06|4.66198e+06},{Brooks County Georgia|Georgia (U.S. state)|Thomas County Georgia}
{6.47e+08|6.47393e+08},{Bibb County Georgia|Georgia (U.S. state)}
{4.40298e+06|4.5e+06},{Brooks County Georgia|Georgia (U.S. state)}
{9.84195e+06|9.9e+06},{Brooks County Georgia|Georgia (U.S. state)}
{1.96839e+07|1.97e+07},{Bryan County Georgia|Georgia (U.S. state)}
{2.61589e+07|2.63e+07},{Bryan County Georgia|Georgia (U.S. state)}
{3.23749e+07|3.24e+07},{Bulloch County Georgia|Georgia (U.S. state)}
{7.25197e+06|7.3e+06},{Burke County Georgia|Georgia (U.S. state)|Richmond County Georgia}
{5.17998e+06|5.2e+06},{Burke County Georgia|Georgia (U.S. state)}
{4.92098e+06|5e+06},{Butts County Georgia|Georgia (U.S. state)}
{2.5e+06|2.58999e+06},{Burke County Georgia|Georgia (U.S. state)}
{1.21729e+07|1.22e+07},{Butts County Georgia|Georgia (U.S. state)}
{1.03e+07|1.036e+07},{Calhoun County Georgia|Early County Georgia|Georgia (U.S. state)}
{5.95697e+06|6e+06},{Calhoun County Georgia|Georgia (U.S. state)}
{8.28796e+06|8.3e+06},{Calhoun County Georgia|Georgia (U.S. state)}
{3.36698e+06|3.4e+06},{Calhoun County Georgia|Georgia (U.S. state)}
{4.86e+07|4.86918e+07},{Camden County Georgia|Georgia (U.S. state)}
{4.32528e+07|4.33e+07},{Camden County Georgia|Georgia (U.S. state)}
{5.69797e+06|5.8e+06},{Camden County Georgia|Georgia (U.S. state)}
{7.3e+06|1.89069e+07},{Candler County Georgia|Georgia (U.S. state)}
{2.3e+07|2.30509e+07},{Carroll County Georgia|Georgia (U.S. state)|Haralson County Georgia}
{5.22e+07|5.23178e+07},{Carroll County Georgia|Georgia (U.S. state)}
{2.53e+07|2.53819e+07},{Carroll County Georgia|Georgia (U.S. state)}
{1.75e+07|1.76119e+07},{Carroll County Georgia|Georgia (U.S. state)|Haralson County Georgia}
{3.36698e+07|3.37e+07},{Catoosa County Georgia|Georgia (U.S. state)|Walker County Georgia}
{1.26e+07|3.26339e+07},{Carroll County Georgia|Douglas County Georgia|Georgia (U.S. state)}
{1.0101e+07|1.02e+07},{Catoosa County Georgia|Georgia (U.S. state)}
{6.7e+06|6.73397e+06},{Charlton County Georgia|Georgia (U.S. state)}
{9.3e+06|9.32396e+06},{Charlton County Georgia|Georgia (U.S. state)}
{3.41e+07|3.41878e+07},{Chatham County Georgia|Georgia (U.S. state)}
{3.78e+07|3.78138e+07},{Chatham County Georgia|Georgia (U.S. state)}
{4.24758e+07|4.26e+07},{Chatham County Georgia|Georgia (U.S. state)}
{6.6e+06|6.73397e+06},{Chatham County Georgia|Georgia (U.S. state)}
{3.88498e+06|3.9e+06},{Chattahoochee County Georgia|Georgia (U.S. state)}
{2e+06|2.07199e+06},{Chattooga County Georgia|Georgia (U.S. state)}
{1.03e+07|1.036e+07},{Chattooga County Georgia|Georgia (U.S. state)}
{3.69e+07|3.70368e+07},{Cherokee County Georgia|Georgia (U.S. state)}
{3.8e+06|3.88498e+06},{Cherokee County Georgia|Georgia (U.S. state)}
{2.3e+06|3.7503e+06},{Cherokee County Georgia|Georgia (U.S. state)|Pickens County Georgia}
{8.2e+06|8.28796e+06},{Cherokee County Georgia|Georgia (U.S. state)}
{2.27919e+07|2.28e+07},{Cherokee County Georgia|Georgia (U.S. state)}
{1.24e+07|1.24319e+07},{Clay County Georgia|Georgia (U.S. state)}
{2.51e+07|2.51229e+07},{Clayton County Georgia|Fulton County Georgia|Georgia (U.S. state)}
{2.43e+07|2.43459e+07},{Clayton County Georgia|Georgia (U.S. state)}
{4.66198e+06|4.7e+06},{Clayton County Georgia|Georgia (U.S. state)}
{6.7e+06|6.73397e+06},{Clayton County Georgia|Georgia (U.S. state)}
{5.95697e+06|6.1e+06},{Clayton County Georgia|Georgia (U.S. state)}
{7.51097e+06|7.6e+06},{Clayton County Georgia|Georgia (U.S. state)}
{4.40298e+06|4.5e+06},{Clinch County Georgia|Georgia (U.S. state)}
{5.69797e+06|5.7e+06},{Clinch County Georgia|Georgia (U.S. state)}
{1.47e+07|1.47629e+07},{Cobb County Georgia|Georgia (U.S. state)}
{2.17559e+07|2.19e+07},{Cobb County Georgia|Georgia (U.S. state)}
{1.63169e+07|1.64e+07},{Cobb County Georgia|Georgia (U.S. state)}
{4.13e+07|4.14398e+07},{Cobb County Georgia|Georgia (U.S. state)}
{7.9e+06|8.02896e+06},{Coffee County Georgia|Georgia (U.S. state)}
{8.28796e+06|8.4e+06},{Coffee County Georgia|Georgia (U.S. state)}
{4e+06|4.14398e+06},{Coffee County Georgia|Georgia (U.S. state)}
{3.3e+06|3.36698e+06},{Colquitt County Georgia|Georgia (U.S. state)}
{3.34e+07|3.34108e+07},{Coffee County Georgia|Georgia (U.S. state)}
{8.02896e+06|8.1e+06},{Colquitt County Georgia|Georgia (U.S. state)}
{4.6e+06|4.66198e+06},{Colquitt County Georgia|Georgia (U.S. state)|Tift County Georgia}
4.23e+07,{Colquitt County Georgia|Georgia (U.S. state)}
{6.47497e+06|6.5e+06},{Columbia County Georgia|Georgia (U.S. state)}
{7.5e+06|7.51097e+06},{Columbia County Georgia|Georgia (U.S. state)}
{2.04e+07|2.04609e+07},{Cook County Georgia|Georgia (U.S. state)}
{1.34679e+07|1.35e+07},{Coweta County Georgia|Georgia (U.S. state)}
{2.95e+07|2.95259e+07},{Coweta County Georgia|Fulton County Georgia|Georgia (U.S. state)}
{1.19139e+07|1.2e+07},{Coweta County Georgia|Georgia (U.S. state)}
{3.8e+06|3.88498e+06},{Crawford County Georgia|Georgia (U.S. state)}
{4.63608e+07|4.64e+07},{Coweta County Georgia|Georgia (U.S. state)}
{2.46e+07|2.46049e+07},{Crisp County Georgia|Georgia (U.S. state)}
{2.07199e+06|2.1e+06},{Decatur County Georgia|Georgia (U.S. state)}
{8e+06|8.02896e+06},{Dade County Georgia|Georgia (U.S. state)}
{4.58428e+07|4.59e+07},{Decatur County Georgia|Georgia (U.S. state)}
{2e+06|2.07199e+06},{Decatur County Georgia|Georgia (U.S. state)}
{2.84899e+06|2.9e+06},{DeKalb County Georgia|Georgia (U.S. state)}
{2.7e+06|2.84899e+06},{DeKalb County Georgia|Georgia (U.S. state)}
{8.02896e+06|8.1e+06},{DeKalb County Georgia|Georgia (U.S. state)}
{1.08e+07|1.0878e+07},{DeKalb County Georgia|Georgia (U.S. state)}
{9.3e+06|9.32396e+06},{DeKalb County Georgia|Georgia (U.S. state)}
3.35144e+07,{DeKalb County Georgia|Georgia (U.S. state)}
{2e+06|2.07199e+06},{DeKalb County Georgia|Georgia (U.S. state)}
{500000.0|517998.0},{DeKalb County Georgia|Georgia (U.S. state)}
{4.2e+06|4.24758e+06},{DeKalb County Georgia|Georgia (U.S. state)}
{1.32e+07|1.32089e+07},{Dodge County Georgia|Georgia (U.S. state)}
{1.55399e+06|1.6e+06},{Dooly County Georgia|Georgia (U.S. state)}
{1.34679e+07|1.35e+07},{Dooly County Georgia|Georgia (U.S. state)}
{2.58999e+06|2.6e+06},{Dooly County Georgia|Georgia (U.S. state)}
{1.36e+07|1.37269e+07},{Dooly County Georgia|Georgia (U.S. state)}
{2.14e+07|5.54257e+07},{Douglas County Georgia|Georgia (U.S. state)}
{4.53e+07|4.53248e+07},{Early County Georgia|Georgia (U.S. state)}
{3.10799e+06|3.2e+06},{Early County Georgia|Georgia (U.S. state)}
{1.73529e+07|1.74e+07},{Effingham County Georgia|Georgia (U.S. state)}
{3.1e+06|3.10799e+06},{Effingham County Georgia|Georgia (U.S. state)}
{2.1e+06|5.43898e+06},{Effingham County Georgia|Georgia (U.S. state)}
{6.6e+06|6.73397e+06},{Elbert County Georgia|Georgia (U.S. state)}
{3.6e+06|3.62598e+06},{Emanuel County Georgia|Georgia (U.S. state)|Johnson County Georgia}
{1.02564e+07|1.03e+07},{Elbert County Georgia|Georgia (U.S. state)}
{9.3e+06|9.32396e+06},{Emanuel County Georgia|Georgia (U.S. state)}
{2.5e+06|2.58999e+06},{Evans County Georgia|Georgia (U.S. state)}
{5.4e+06|5.43898e+06},{Evans County Georgia|Georgia (U.S. state)}
{5.6e+06|5.69797e+06},{Fannin County Georgia|Georgia (U.S. state)}
{2.58999e+06|2.6e+06},{Evans County Georgia|Georgia (U.S. state)}
{4.1e+06|4.14398e+06},{Fannin County Georgia|Georgia (U.S. state)}
{4e+06|4.14398e+06},{Evans County Georgia|Georgia (U.S. state)}
{1.036e+07|1.04e+07},{Floyd County Georgia|Georgia (U.S. state)}
{8.2e+06|8.28796e+06},{Franklin County Georgia|Georgia (U.S. state)|Hart County Georgia}
{1.52e+07|1.78709e+07},{Forsyth County Georgia|Georgia (U.S. state)}
{5.4e+06|5.43898e+06},{Franklin County Georgia|Georgia (U.S. state)}
{1.01e+07|1.0101e+07},{Franklin County Georgia|Georgia (U.S. state)}
{8.80596e+06|8.9e+06},{Franklin County Georgia|Georgia (U.S. state)|Hart County Georgia|Madison County Georgia}
{3.56e+07|3.57418e+07},{Fulton County Georgia|Georgia (U.S. state)}
{4.36e+07|4.37708e+07},{Fulton County Georgia|Georgia (U.S. state)}
{6.1e+06|6.21597e+06},{Fulton County Georgia|Georgia (U.S. state)}
{5.53e+07|5.54257e+07},{Fulton County Georgia|Georgia (U.S. state)}
{9.85e+07|1.07096e+08},{Fulton County Georgia|Georgia (U.S. state)}
{4.94688e+07|4.95e+07},{Fulton County Georgia|Georgia (U.S. state)}
{5.1e+06|5.17998e+06},{Georgia (U.S. state)|Gilmer County Georgia}
{500000.0|517998.0},{Georgia (U.S. state)|Glascock County Georgia}
{2.58999e+06|2.7e+06},{Georgia (U.S. state)|Glascock County Georgia}
{3.02e+07|3.03029e+07},{Georgia (U.S. state)|Gordon County Georgia}
{1.5e+06|1.55399e+06},{Georgia (U.S. state)|Gordon County Georgia}
{7.1e+06|7.25197e+06},{Georgia (U.S. state)|Gordon County Georgia}
{2.40869e+07|2.41e+07},{Georgia (U.S. state)|Grady County Georgia}
{3.1e+06|3.10799e+06},{Georgia (U.S. state)|Grady County Georgia}
{5.3e+06|5.43898e+06},{Georgia (U.S. state)|Greene County Georgia}
{1.26909e+07|1.27e+07},{Georgia (U.S. state)|Greene County Georgia}
{1.19e+07|1.19139e+07},{Georgia (U.S. state)|Greene County Georgia}
{2.58999e+06|2.6e+06},{Georgia (U.S. state)|Gwinnett County Georgia}
{7.5e+06|7.51097e+06},{Georgia (U.S. state)|Gwinnett County Georgia}
{4.5e+06|4.66198e+06},{Georgia (U.S. state)|Gwinnett County Georgia}
{1.59e+07|1.60579e+07},{Georgia (U.S. state)|Gwinnett County Georgia}
{3.36e+07|3.36698e+07},{Georgia (U.S. state)|Gwinnett County Georgia}
{1.06e+07|1.0619e+07},{Georgia (U.S. state)|Gwinnett County Georgia}
{4.8e+06|4.92098e+06},{Georgia (U.S. state)|Habersham County Georgia}
{2.5e+07|2.51229e+07},{Georgia (U.S. state)|Gwinnett County Georgia}
{2.54e+07|2.81791e+07},{Georgia (U.S. state)|Gwinnett County Georgia}
{5.9e+06|5.95697e+06},{Georgia (U.S. state)|Habersham County Georgia}
{8.80596e+06|8.9e+06},{Georgia (U.S. state)|Habersham County Georgia}
{1.63687e+07|1.64e+07},{Georgia (U.S. state)|Hall County Georgia}
{8.02896e+06|8.1e+06},{Georgia (U.S. state)|Hall County Georgia}
{3.8e+06|3.88498e+06},{Georgia (U.S. state)|Haralson County Georgia}
{7.01887e+07|7.02e+07},{Georgia (U.S. state)|Hall County Georgia}
{1.91659e+07|1.92e+07},{Georgia (U.S. state)|Haralson County Georgia}
{4.14398e+06|4.2e+06},{Georgia (U.S. state)|Haralson County Georgia}
{5.4e+06|5.43898e+06},{Georgia (U.S. state)|Harris County Georgia}
{5.8e+06|5.95697e+06},{Georgia (U.S. state)|Harris County Georgia}
{1.19139e+07|1.2e+07},{Georgia (U.S. state)|Hart County Georgia}
{1.11e+07|1.11369e+07},{Georgia (U.S. state)|Henry County Georgia}
{3.44468e+07|3.45e+07},{Georgia (U.S. state)|Henry County Georgia}
{7.25197e+06|7.3e+06},{Georgia (U.S. state)|Houston County Georgia}
{4.24758e+07|4.25e+07},{Georgia (U.S. state)|Houston County Georgia|Peach County Georgia}
{6.7e+06|6.73397e+06},{Georgia (U.S. state)|Irwin County Georgia}
{9.08e+07|9.09086e+07},{Georgia (U.S. state)|Houston County Georgia|Peach County Georgia}
{6.21597e+06|6.3e+06},{Georgia (U.S. state)|Jackson County Georgia}
{2.14969e+07|2.15e+07},{Georgia (U.S. state)|Jackson County Georgia}
{1.67e+07|1.68349e+07},{Georgia (U.S. state)|Jackson County Georgia}
{4.91e+07|4.92098e+07},{Georgia (U.S. state)|Jackson County Georgia}
{5.17998e+06|5.2e+06},{Georgia (U.S. state)|Jackson County Georgia}
