areaLand,isPartOf_label
NULL,{East Java|Indonesia}
NULL,{Gorontalo (province)|Gorontalo Regency}
NULL,Phú Thọ Province
NULL,Quảng Nam Province
NULL,Guanajuato
NULL,{Northeast (Vietnam)|Quảng Ninh Province}
NULL,NULL
NULL,{Kampong_Thom_District|Kampong Thom Province}
NULL,{Prey Veaeng District|Prey Veng Province}
NULL,{Kampong Chhnang District|Kampong Chhnang Province}
NULL,{Hassan district|Karnataka}
NULL,{Durango|Mapimí Municipality}
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
{8.54696e+06|8.6e+06},{Hays County Texas|Texas}
NULL,Zaporizhia Oblast
NULL,Poltava Oblast
NULL,NULL
NULL,Kherson Oblast
NULL,Kherson Oblast
NULL,{Lodhran District|Punjab Pakistan}
NULL,{Ganjam district|Odisha}
NULL,NULL
NULL,{Agra district|Uttar Pradesh}
NULL,Barda District
NULL,Jalisco
NULL,{Tamil Nadu|Theni district}
NULL,{Tamil Nadu|Theni district}
NULL,{Okara Pakistan|Punjab Pakistan}
4.75e+06,NULL
NULL,{Etah district|Uttar Pradesh}
NULL,Texas
NULL,{Gujarat|Jamnagar district}
NULL,{Erode district|Tamil Nadu}
NULL,{Tamil Nadu|Tirunelveli district}
NULL,{Gujarat|Surat district}
NULL,{Gujarat|Navsari district}
NULL,{Gujarat|Valsad district}
NULL,{Caribbean Region Colombia|Cesar department}
NULL,{Caribbean Region Colombia|Cesar department}
NULL,{Caribbean Region Colombia|Cesar department}
NULL,{Gujarat|Mehsana district}
NULL,{Amreli district|Gujarat}
NULL,{Chiriquí Province|Pacific Ocean}
NULL,{Madhya Pradesh|Raisen district}
NULL,{Pauri Garhwal district|Uttarakhand}
NULL,{Dehradun district|Uttarakhand}
1.3134e+10,Shaanxi
NULL,Balqa Governorate
NULL,{Howrah district|West Bengal}
NULL,{Nainital district|Uttarakhand}
NULL,Bahia
NULL,{County Cork|Munster}
NULL,{New York|Queens}
NULL,Dadra and Nagar Haveli
NULL,{Guna district|Madhya Pradesh}
NULL,Kangwon Province (North Korea)
NULL,North Hwanghae Province
NULL,{Bareilly district|Uttar Pradesh}
NULL,{Bihar|Nalanda district}
NULL,Chagang Province
NULL,{Jammu and Kashmir|Poonch district India}
NULL,South Hamgyong Province
NULL,{Bundelkhand|Chitrakoot division|Hamirpur district Uttar Pradesh|Uttar Pradesh}
NULL,Jambyl Province
NULL,South Hamgyong Province
NULL,{Baran district|Rajasthan}
NULL,Chagang Province
NULL,{Bareilly district|Uttar Pradesh}
NULL,{Chandauli district|Uttar Pradesh}
NULL,NULL
NULL,{New York|Queens}
NULL,Bihar
NULL,{Manipur|Thoubal district}
NULL,{Fazilka district|Punjab India}
NULL,{Shahjahanpur district|Uttar Pradesh}
NULL,{Muzaffarnagar district|Uttar Pradesh}
NULL,{Jalna district|Maharashtra}
NULL,North Pyongan Province
NULL,{Hampshire|South East England}
NULL,{Ganjam district|Odisha}
6.78318e+06,{Alabama|Chambers County Alabama}
NULL,{Maharashtra|Thane}
NULL,{Bihar|Munger district}
NULL,North Pyongan Province
NULL,{Jammu and Kashmir|Ladakh}
NULL,{Jammu and Kashmir|Ladakh}
NULL,{Banka district|Bhagalpur division|Bihar}
NULL,{Hazaribagh district|Jharkhand}
{8.4e+06|8.54696e+06},{Mississippi|Webster County Mississippi}
NULL,{England|Leeds city centre|West Yorkshire|Yorkshire and the Humber}
NULL,{Kanyakumari district|Tamil Nadu}
NULL,Nimba County
NULL,{Jharkhand|West Singhbhum district}
NULL,Vukovar
NULL,{Bhojpur district India|Bihar}
NULL,Jalisco
NULL,{New York|Queens}
NULL,{New York|Queens}
NULL,{Maharashtra|Nashik district}
NULL,{Karnataka|Uttara Kannada}
NULL,South Sumatra
NULL,{Assam|Bongaigaon district}
NULL,{Andhra Pradesh|Vizianagaram district}
NULL,Shaanxi
NULL,NULL
